City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Atuona,PF,78.06,few clouds,-9.8,-139.0333,Villa Enata
3,Karratha,AU,87.64,clear sky,-20.7377,116.8463,ibis Styles Karratha
7,Kaveripattinam,IN,74.93,overcast clouds,12.4207,78.2166,PR mahal
10,Bilma,NE,77.67,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
17,Opotiki,NZ,71.38,few clouds,-38.0833,177.2833,Agassiz House Opotiki Backpackers
18,Airai,TL,80.69,clear sky,-8.9266,125.4092,Juvinal Martin
19,Dhidhdhoo,MV,83.14,few clouds,6.8833,73.1,Dhidhoo beach
21,Bengkulu,ID,82.58,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
22,Vanimo,PG,85.77,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
23,Bousso,TD,77.52,overcast clouds,10.4795,16.7117,NA
24,Zaraza,VE,74.71,very heavy rain,9.3503,-65.3245,Hotel Zaraza
25,Bosaso,SO,84.2,broken clouds,11.2842,49.1816,Red Sea Hotel
28,Arlit,NE,80.62,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
31,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
32,Roanoke Rapids,US,70.21,clear sky,36.4615,-77.6542,Hampton Inn Roanoke Rapids
36,Fare,PF,78.33,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
47,Cap Malheureux,MU,70.29,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
49,Rikitea,PF,74.28,light rain,-23.1203,-134.9692,People ThankYou
50,Vaini,TO,75.83,scattered clouds,-21.2,-175.2,Keleti Beach Resort
53,Victoria,HK,82.45,overcast clouds,22.2855,114.1577,Mini Hotel Central
55,Luanda,AO,73.27,broken clouds,-8.8368,13.2343,Hotel Fórum
56,Bambous Virieux,MU,70.05,light rain,-20.3428,57.7575,Casa Tia Villa
58,Buraydah,SA,75.65,clear sky,26.326,43.975,فندق راحة السلام
59,Aguilas,ES,72.21,scattered clouds,37.4063,-1.5829,Hotel Carlos III
62,Butaritari,KI,82.04,light rain,3.0707,172.7902,Isles Sunset Lodge
63,Port-Gentil,GA,78.06,moderate rain,-0.7193,8.7815,Fengshui Residence
70,Garowe,SO,76.1,overcast clouds,8.4054,48.4845,Curubo Hotel
72,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
