City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,39.31,65,0,12.66,clear sky
1,Atuona,PF,-9.8,-139.0333,78.06,74,13,13.4,few clouds
2,Busselton,AU,-33.65,115.3333,56.08,53,64,8.39,broken clouds
3,Karratha,AU,-20.7377,116.8463,87.64,18,0,5.88,clear sky
4,Hobart,AU,-42.8794,147.3294,61.27,64,75,1.01,light rain
5,Ushuaia,AR,-54.8,-68.3,38.86,81,40,18.41,light intensity drizzle
6,Le Pradet,FR,43.1066,6.0172,64.63,70,90,2.3,overcast clouds
7,Kaveripattinam,IN,12.4207,78.2166,74.93,87,100,5.64,overcast clouds
8,Dikson,RU,73.5069,80.5464,28.04,78,100,24.32,light snow
9,Bluff,NZ,-46.6,168.3333,55.8,60,35,11.34,scattered clouds
10,Bilma,NE,18.6853,12.9164,77.67,21,69,0.89,broken clouds
11,Ustrzyki Dolne,PL,49.4304,22.5938,34.45,100,0,4.05,clear sky
12,Atbasar,KZ,51.8,68.3333,37.9,73,0,6.15,clear sky
13,Sistranda,NO,63.7256,8.834,53.91,95,99,9.57,overcast clouds
14,Harboore,DK,56.6175,8.1807,50.09,86,84,9.17,broken clouds
15,Puerto Ayora,EC,-0.7393,-90.3518,69.55,91,100,5.01,overcast clouds
16,Hermanus,ZA,-34.4187,19.2345,59.81,86,8,13.11,clear sky
17,Opotiki,NZ,-38.0833,177.2833,71.38,50,13,7.78,few clouds
18,Airai,TL,-8.9266,125.4092,80.69,28,9,5.97,clear sky
19,Dhidhdhoo,MV,6.8833,73.1,83.14,78,23,17.67,few clouds
20,Qianan,CN,44.9932,124.0581,62.89,63,99,19.8,overcast clouds
21,Bengkulu,ID,-3.8004,102.2655,82.58,71,15,7.76,few clouds
22,Vanimo,PG,-2.6741,141.3028,85.77,72,80,7.56,broken clouds
23,Bousso,TD,10.4795,16.7117,77.52,77,100,4.27,overcast clouds
24,Zaraza,VE,9.3503,-65.3245,74.71,93,77,3.67,very heavy rain
25,Bosaso,SO,11.2842,49.1816,84.2,75,57,3.22,broken clouds
26,Port Alfred,ZA,-33.5906,26.891,61.81,76,61,14.99,broken clouds
27,Nemuro,JP,43.3236,145.575,66.63,67,0,8.81,clear sky
28,Arlit,NE,18.7369,7.3853,80.62,14,0,9.8,clear sky
